spkid,full_name,name
2000433,"   433 Eros (1898 DQ)",Eros
2000719,"   719 Albert (1911 MT)",Albert
2000887,"   887 Alinda (1918 DB)",Alinda
2001036,"  1036 Ganymed (1924 TD)",Ganymed
2001221,"  1221 Amor (1932 EA1)",Amor
2001566,"  1566 Icarus (1949 MA)",Icarus
2001580,"  1580 Betulia (1950 KA)",Betulia
2001620,"  1620 Geographos (1951 RA)",Geographos
2001627,"  1627 Ivar (1929 SH)",Ivar
2001685,"  1685 Toro (1948 OA)",Toro
2001862,"  1862 Apollo (1932 HA)",Apollo
2001863,"  1863 Antinous (1948 EA)",Antinous
2001864,"  1864 Daedalus (1971 FA)",Daedalus
2001865,"  1865 Cerberus (1971 UA)",Cerberus
2001866,"  1866 Sisyphus (1972 XA)",Sisyphus
2001915,"  1915 Quetzalcoatl (1953 EA)",Quetzalcoatl
2001916,"  1916 Boreas (1953 RA)",Boreas
2001917,"  1917 Cuyo (1968 AA)",Cuyo
2001943,"  1943 Anteros (1973 EC)",Anteros
2001980,"  1980 Tezcatlipoca (1950 LA)",Tezcatlipoca
2001981,"  1981 Midas (1973 EA)",Midas
2002059,"  2059 Baboquivari (1963 UA)",Baboquivari
2002061,"  2061 Anza (1960 UA)",Anza
2002062,"  2062 Aten (1976 AA)",Aten
2002063,"  2063 Bacchus (1977 HB)",Bacchus
2002100,"  2100 Ra-Shalom (1978 RA)",Ra-Shalom
2002101,"  2101 Adonis (1936 CA)",Adonis
2002102,"  2102 Tantalus (1975 YA)",Tantalus
2002135,"  2135 Aristaeus (1977 HA)",Aristaeus
2002201,"  2201 Oljato (1947 XC)",Oljato
2002202,"  2202 Pele (1972 RA)",Pele
2002212,"  2212 Hephaistos (1978 SB)",Hephaistos
2002329,"  2329 Orthos (1976 WA)",Orthos
2002340,"  2340 Hathor (1976 UA)",Hathor
2002368,"  2368 Beltrovata (1977 RA)",Beltrovata
2002608,"  2608 Seneca (1978 DA)",Seneca
2003102,"  3102 Krok (1981 QA)",Krok
2003103,"  3103 Eger (1982 BB)",Eger
2003122,"  3122 Florence (1981 ET3)",Florence
2003199,"  3199 Nefertiti (1982 RA)",Nefertiti
2003200,"  3200 Phaethon (1983 TB)",Phaethon
2003271,"  3271 Ul (1982 RB)",Ul
2003288,"  3288 Seleucus (1982 DV)",Seleucus
2003352,"  3352 McAuliffe (1981 CW)",McAuliffe
2003360,"  3360 Syrinx (1981 VA)",Syrinx
2003361,"  3361 Orpheus (1982 HR)",Orpheus
2003362,"  3362 Khufu (1984 QA)",Khufu
2003551,"  3551 Verenia (1983 RD)",Verenia
2003552,"  3552 Don Quixote (1983 SA)","Don Quixote"
2003553,"  3553 Mera (1985 JA)",Mera
2003554,"  3554 Amun (1986 EB)",Amun
2003671,"  3671 Dionysus (1984 KD)",Dionysus
2003691,"  3691 Bede (1982 FT)",Bede
2003752,"  3752 Camillo (1985 PA)",Camillo
2003753,"  3753 Cruithne (1986 TO)",Cruithne
2003757,"  3757 Anagolay (1982 XB)",Anagolay
2003838,"  3838 Epona (1986 WA)",Epona
2003908,"  3908 Nyx (1980 PA)",Nyx
2003988,"  3988 Huma (1986 LA)",Huma
2004015,"  4015 Wilson-Harrington (1979 VA)",Wilson-Harrington
2004034,"  4034 Vishnu (1986 PA)",Vishnu
2004055,"  4055 Magellan (1985 DO2)",Magellan
2004179,"  4179 Toutatis (1989 AC)",Toutatis
2004183,"  4183 Cuno (1959 LM)",Cuno
2004197,"  4197 Morpheus (1982 TA)",Morpheus
2004257,"  4257 Ubasti (1987 QA)",Ubasti
2004341,"  4341 Poseidon (1987 KF)",Poseidon
2004401,"  4401 Aditi (1985 TB)",Aditi
2004450,"  4450 Pan (1987 SY)",Pan
2004486,"  4486 Mithra (1987 SB)",Mithra
2004487,"  4487 Pocahontas (1987 UA)",Pocahontas
2004503,"  4503 Cleobulus (1989 WM)",Cleobulus
2004544,"  4544 Xanthus (1989 FB)",Xanthus
2004581,"  4581 Asclepius (1989 FC)",Asclepius
2004596,"  4596 (1981 QB)",
2004660,"  4660 Nereus (1982 DB)",Nereus
2004688,"  4688 (1980 WF)",
2004769,"  4769 Castalia (1989 PB)",Castalia
2004947,"  4947 Ninkasi (1988 TJ1)",Ninkasi
2004953,"  4953 (1990 MU)",
2004954,"  4954 Eric (1990 SQ)",Eric
2004957,"  4957 Brucemurray (1990 XJ)",Brucemurray
2005011,"  5011 Ptah (6743 P-L)",Ptah
2005131,"  5131 (1990 BG)",
2005143,"  5143 Heracles (1991 VL)",Heracles
2005189,"  5189 (1990 UQ)",
2005324,"  5324 Lyapunov (1987 SL)",Lyapunov
2005332,"  5332 Davidaguilar (1990 DA)",Davidaguilar
2005370,"  5370 Taranis (1986 RA)",Taranis
2005381,"  5381 Sekhmet (1991 JY)",Sekhmet
2005496,"  5496 (1973 NA)",
2005587,"  5587 (1990 SB)",
2005590,"  5590 (1990 VA)",
2005604,"  5604 (1992 FE)",
2005620,"  5620 Jasonwheeler (1990 OA)",Jasonwheeler
2005626,"  5626 (1991 FE)",
2005645,"  5645 (1990 SP)",
2005646,"  5646 (1990 TR)",
2005653,"  5653 Camarillo (1992 WD5)",Camarillo
2005660,"  5660 (1974 MA)",
2005693,"  5693 (1993 EA)",
2005731,"  5731 Zeus (1988 VP4)",Zeus
2005751,"  5751 Zao (1992 AC)",Zao
2005786,"  5786 Talos (1991 RC)",Talos
2005797,"  5797 Bivoj (1980 AA)",Bivoj
2005828,"  5828 (1991 AM)",
2005836,"  5836 (1993 MF)",
2005863,"  5863 Tara (1983 RB)",Tara
2005869,"  5869 Tanith (1988 VN4)",Tanith
2005879,"  5879 Almeria (1992 CH1)",Almeria
2006037,"  6037 (1988 EG)",
2006047,"  6047 (1991 TB1)",
2006050,"  6050 Miwablock (1992 AE)",Miwablock
2006053,"  6053 (1993 BW3)",
2006063,"  6063 Jason (1984 KB)",Jason
2006178,"  6178 (1986 DA)",
2006239,"  6239 Minos (1989 QF)",Minos
2006455,"  6455 (1992 HE)",
2006456,"  6456 Golombek (1992 OM)",Golombek
2006489,"  6489 Golevka (1991 JX)",Golevka
2006491,"  6491 (1991 OA)",
2006569,"  6569 Ondaatje (1993 MO)",Ondaatje
2006611,"  6611 (1993 VW)",
2007025,"  7025 (1993 QA)",
2007088,"  7088 Ishtar (1992 AA)",Ishtar
2007092,"  7092 Cadmus (1992 LC)",Cadmus
2007236,"  7236 (1987 PA)",
2007335,"  7335 (1989 JA)",
